0;0;000000
1;0;7d7d7d
1;1;997262
1;2;a07362
1;3;b4b4b7
1;4;b7b7ba
1;5;838383
1;6;858587
2;0;3d5754
3;0;866043
3;1;77553b
3;2;5a3f1d
4;0;7b7b7b
5;0;9d804f
5;1;684e2e
5;2;c4b47b
5;3;9a6e4d
5;4;aa5c33
5;5;3d2712
6;0;486626
6;8;486626
6;1;333a21
6;9;333a21
6;2;779754
6;10;779754
6;3;305612
6;11;305612
6;4;737314
6;12;737314
6;5;39561c
6;13;39561c
7;0;545454
8;0;2e43f5
8;1;2e43f5
8;2;2e43f5
8;3;2e43f5
8;4;2e43f5
8;5;2e43f5
8;6;2e43f5
8;7;2e43f5
8;8;2e43f5
8;9;2e43f5
8;10;2e43f5
8;11;2e43f5
8;12;2e43f5
8;13;2e43f5
8;14;2e43f5
8;15;2e43f5
9;0;2e43f5
9;1;2e43f5
9;2;2e43f5
9;3;2e43f5
9;4;2e43f5
9;5;2e43f5
9;6;2e43f5
9;7;2e43f5
9;8;2e43f5
9;9;2e43f5
9;10;2e43f5
9;11;2e43f5
9;12;2e43f5
9;13;2e43f5
9;14;2e43f5
9;15;2e43f5
10;0;d55a12
10;1;d55a12
10;2;d55a12
10;3;d55a12
10;4;d55a12
10;5;d55a12
10;6;d55a12
10;7;d55a12
10;8;d55a12
10;9;d55a12
10;10;d55a12
10;11;d55a12
10;12;d55a12
10;13;d55a12
10;14;d55a12
10;15;d55a12
11;0;d55a12
11;1;d55a12
11;2;d55a12
11;3;d55a12
11;4;d55a12
11;5;d55a12
11;6;d55a12
11;7;d55a12
11;8;d55a12
11;9;d55a12
11;10;d55a12
11;11;d55a12
11;12;d55a12
11;13;d55a12
11;14;d55a12
11;15;d55a12
12;0;dbd3a0
12;1;aa5821
13;0;7f7c7b
14;0;908c7d
15;0;88827f
16;0;737373
17;0;9b7d4d
17;1;695130
17;2;b9a67a
17;3;9a7749
17;4;665131
17;8;665131
17;12;665131
17;5;2d1c0c
17;9;2d1c0c
17;13;2d1c0c
17;6;cfcfc9
17;10;cfcfc9
17;14;cfcfc9
17;7;57441a
17;11;57441a
17;15;57441a
18;0;0d6500
18;4;0d6500
18;8;0d6500
18;12;0d6500
18;1;0b5600
18;5;0b5600
18;9;0b5600
18;13;0b5600
18;2;0d6500
18;6;0d6500
18;10;0d6500
18;14;0d6500
18;3;0e6b00
18;7;0e6b00
18;11;0e6b00
18;15;0e6b00
19;0;c3c455
19;1;a09f3f
20;0;daf1f5
21;0;667087
22;0;26438a
23;0;565656
23;1;565656
23;2;565656
23;3;565656
23;4;565656
23;5;565656
24;0;dbd39f
24;1;dbd39f
24;2;dbd39f
25;0;654432
26;0;a12722
26;1;a12722
26;2;a12722
26;3;a12722
26;8;a12722
26;9;a12722
26;10;a12722
26;11;a12722
27;0;846c48
27;1;846c48
27;2;846c48
27;3;846c48
27;4;846c48
27;5;846c48
27;8;9b6947
27;9;9b6947
27;10;9b6947
27;11;9b6947
27;12;9b6947
27;13;9b6947
28;0;786559
28;1;786559
28;2;786559
28;3;786559
28;4;786559
28;5;786559
28;8;895d50
28;9;895d50
28;10;895d50
28;11;895d50
28;12;895d50
28;13;895d50
29;0;6b665f
29;1;6b665f
29;2;6b665f
29;3;6b665f
29;4;6b665f
29;5;6b665f
29;8;6b665f
29;9;6b665f
29;10;6b665f
29;11;6b665f
29;12;6b665f
29;13;6b665f
30;0;dcdcdc
31;0;7c4f19
31;1;38504e
31;2;314644
32;0;7c4f19
33;0;6b665f
33;1;6b665f
33;2;6b665f
33;3;6b665f
33;4;6b665f
33;5;6b665f
33;8;6b665f
33;9;6b665f
33;10;6b665f
33;11;6b665f
33;12;6b665f
33;13;6b665f
34;0;8e9264
34;1;8e9264
34;2;8e9264
34;3;8e9264
34;4;8e9264
34;5;8e9264
34;8;9a825a
34;9;9a825a
34;10;9a825a
34;11;9a825a
34;12;9a825a
34;13;9a825a
35;0;eaeded
35;1;f17613
35;2;be45b4
35;3;35399e
35;4;f9c627
35;5;70b919
35;6;ee8dad
35;7;3e4447
35;8;8e8e87
35;9;158a91
35;10;7a2aad
35;11;35399e
35;12;724728
35;13;556d1b
35;14;a12722
35;15;141519
36;0;9a825a
36;1;9a825a
36;2;9a825a
36;3;9a825a
36;4;9a825a
36;5;9a825a
36;6;9a825a
36;7;9a825a
36;8;9a825a
36;9;9a825a
36;10;9a825a
36;11;9a825a
36;12;9a825a
36;13;9a825a
36;14;9a825a
36;15;9a825a
37;0;6ca200
38;0;653904
38;1;25988a
38;2;b28ed3
38;3;8a8796
38;4;678726
38;5;5f8720
38;6;5f9942
38;7;659649
38;8;b1c68b
39;0;8a6954
40;0;c33638
41;0;faed4e
42;0;dcdcdc
43;0;a0a0a0
43;1;dbd39f
43;2;9d804f
43;3;7b7b7b
43;4;936457
43;5;7a7a7a
43;6;2c161a
43;7;edeae3
44;0;a0a0a0
44;8;a0a0a0
44;1;dbd39f
44;9;dbd39f
44;2;9d804f
44;10;9d804f
44;3;7b7b7b
44;11;7b7b7b
44;4;936457
44;12;936457
44;5;7a7a7a
44;13;7a7a7a
44;6;2c161a
44;14;2c161a
44;7;edeae3
44;15;edeae3
45;0;936457
46;0;82412f
47;0;9d804f
48;0;687968
49;0;14121d
50;0;826a3a
50;1;826a3a
50;2;826a3a
50;3;826a3a
50;4;826a3a
50;5;826a3a
51;0;d48c36
51;1;d48c36
51;2;d48c36
51;3;d48c36
51;4;d48c36
51;5;d48c36
51;6;d48c36
51;7;d48c36
51;8;d48c36
51;9;d48c36
51;10;d48c36
51;11;d48c36
51;12;d48c36
51;13;d48c36
51;14;d48c36
51;15;d48c36
52;0;1a2731
53;0;9d804f
53;1;9d804f
53;2;9d804f
53;3;9d804f
53;4;9d804f
53;5;9d804f
53;6;9d804f
53;7;9d804f
53;8;9d804f
53;9;9d804f
53;10;9d804f
53;11;9d804f
53;12;9d804f
53;13;9d804f
53;14;9d804f
53;15;9d804f
54;0;9d804f
54;1;9d804f
54;2;9d804f
54;3;9d804f
54;4;9d804f
54;5;9d804f
55;0;ac1b09
55;1;ac1b09
55;2;ac1b09
55;3;ac1b09
55;4;ac1b09
55;5;ac1b09
55;6;ac1b09
55;7;ac1b09
55;8;ac1b09
55;9;ac1b09
55;10;ac1b09
55;11;ac1b09
55;12;ac1b09
55;13;ac1b09
55;14;ac1b09
55;15;ac1b09
56;0;828c8f
57;0;62dcd6
58;0;6b472b
59;0;566607
59;1;566607
59;2;566607
59;3;566607
59;4;566607
59;5;566607
59;6;566607
60;0;734c2d
60;1;734c2d
60;2;734c2d
60;3;734c2d
60;4;734c2d
60;5;734c2d
60;6;734c2d
60;7;4b280e
61;0;606060
61;1;606060
61;2;606060
61;3;606060
62;0;606060
62;1;606060
62;2;606060
62;3;606060
63;0;9d804f
63;1;9d804f
63;2;9d804f
63;3;9d804f
63;4;9d804f
63;5;9d804f
63;6;9d804f
63;7;9d804f
63;8;9d804f
63;9;9d804f
63;10;9d804f
63;11;9d804f
63;12;9d804f
63;13;9d804f
63;14;9d804f
63;15;9d804f
64;0;876734
64;1;876734
64;2;876734
64;3;876734
64;4;876734
64;5;876734
64;6;876734
64;7;876734
64;8;876734
64;9;876734
64;10;876734
64;11;876734
64;12;876734
64;13;876734
64;14;876734
64;15;876734
65;0;795f35
65;1;795f35
65;2;795f35
65;3;795f35
66;0;796d58
66;1;796d58
66;2;796d58
66;3;796d58
66;4;796d58
66;5;796d58
66;6;796d58
66;7;796d58
66;8;796d58
66;9;796d58
67;0;7b7b7b
67;1;7b7b7b
67;2;7b7b7b
67;3;7b7b7b
67;4;7b7b7b
67;5;7b7b7b
67;6;7b7b7b
67;7;7b7b7b
67;8;7b7b7b
67;9;7b7b7b
67;10;7b7b7b
67;11;7b7b7b
67;12;7b7b7b
67;13;7b7b7b
67;14;7b7b7b
67;15;7b7b7b
68;0;9d804f
68;1;9d804f
68;2;9d804f
68;3;9d804f
68;4;9d804f
68;5;9d804f
68;6;9d804f
68;7;9d804f
68;8;9d804f
68;9;9d804f
68;10;9d804f
68;11;9d804f
68;12;9d804f
68;13;9d804f
68;14;9d804f
68;15;9d804f
69;0;6a5940
69;1;6a5940
69;2;6a5940
69;3;6a5940
69;4;6a5940
69;5;6a5940
69;6;6a5940
69;7;6a5940
69;8;6a5940
69;9;6a5940
69;10;6a5940
69;11;6a5940
69;12;6a5940
69;13;6a5940
69;14;6a5940
69;15;6a5940
70;0;7d7d7d
70;1;7d7d7d
71;0;bbbbbb
71;1;bbbbbb
71;2;bbbbbb
71;3;bbbbbb
71;4;bbbbbb
71;5;bbbbbb
71;6;bbbbbb
71;7;bbbbbb
71;8;bbbbbb
